suite	task_id	hard_pass	spec_score	decision	final_decision	p_hard_pass	steps_used	proposals_used	verify_calls_used	total_verifier_calls	termination_reason	edit_distance	final_edit_cost_brics	trajectory_edit_distance	trajectory_edit_cost_brics
sgchem_v1.0	sgchem_v1.0__bundle__00001__abstain_contradiction__04	0	0.000	reject	REJECT	0.850	1	1	0	1	budget_exhausted:max_steps				
sgchem_v1.0	sgchem_v1.0__bundle__00001__audit_accept__02	1	1.200	accept	ACCEPT	0.850	1	1	0	1	accepted	0	0	0	0
sgchem_v1.0	sgchem_v1.0__bundle__00001__audit_reject__03	1	1.200	accept	ACCEPT	0.850	1	1	0	1	accepted	3	2	3	2
sgchem_v1.0	sgchem_v1.0__bundle__00001__construct_feasible__01	1	1.200	accept	ACCEPT	0.850	1	1	0	1	accepted				
sgchem_v1.0	sgchem_v1.0__bundle__00001__repair_near_miss__05	1	1.200	accept	ACCEPT	0.850	1	1	0	1	accepted	1	2	1	2
sgchem_v1.0	sgchem_v1.0__bundle__00005__abstain_contradiction__04	0	0.000	reject	REJECT	0.850	1	1	0	1	budget_exhausted:max_steps				
sgchem_v1.0	sgchem_v1.0__bundle__00005__audit_accept__02	1	1.200	accept	ACCEPT	0.850	1	1	0	1	accepted	0	0	0	0
sgchem_v1.0	sgchem_v1.0__bundle__00005__audit_reject__03	1	1.200	accept	ACCEPT	0.850	1	1	0	1	accepted	4	2	4	2
sgchem_v1.0	sgchem_v1.0__bundle__00005__construct_feasible__01	1	1.200	accept	ACCEPT	0.850	1	1	0	1	accepted				
sgchem_v1.0	sgchem_v1.0__bundle__00005__interrupt_resume__05	1	1.200	accept	ACCEPT	0.850	1	1	0	1	accepted	2	2	2	2
sgchem_v1.0	sgchem_v1.0__bundle__00009__abstain_contradiction__04	0	0.000	reject	REJECT	0.850	1	1	0	1	budget_exhausted:max_steps				
sgchem_v1.0	sgchem_v1.0__bundle__00009__audit_accept__02	1	1.200	accept	ACCEPT	0.850	1	1	0	1	accepted	0	0	0	0
sgchem_v1.0	sgchem_v1.0__bundle__00009__audit_reject__03	1	1.200	accept	ACCEPT	0.850	1	1	0	1	accepted	4	2	4	2
sgchem_v1.0	sgchem_v1.0__bundle__00009__boundary_precision__05	1	1.200	accept	ACCEPT	0.850	1	1	0	1	accepted	0	0	0	0
sgchem_v1.0	sgchem_v1.0__bundle__00009__boundary_precision__06	1	1.200	accept	ACCEPT	0.850	1	1	0	1	accepted	4	2	4	2
sgchem_v1.0	sgchem_v1.0__bundle__00009__construct_feasible__01	1	1.200	accept	ACCEPT	0.850	1	1	0	1	accepted				
sgchem_v1.0	sgchem_v1.0__bundle__00013__abstain_contradiction__04	0	0.000	reject	REJECT	0.850	1	1	0	1	budget_exhausted:max_steps				
sgchem_v1.0	sgchem_v1.0__bundle__00013__audit_accept__02	1	1.200	accept	ACCEPT	0.850	1	1	0	1	accepted	0	0	0	0
sgchem_v1.0	sgchem_v1.0__bundle__00013__audit_reject__03	1	1.200	accept	ACCEPT	0.850	1	1	0	1	accepted	4	2	4	2
sgchem_v1.0	sgchem_v1.0__bundle__00013__construct_feasible__01	1	1.200	accept	ACCEPT	0.850	1	1	0	1	accepted				
sgchem_v1.0	sgchem_v1.0__bundle__00013__repair_near_miss__05	1	1.200	accept	ACCEPT	0.850	1	1	0	1	accepted	2	2	2	2
sgchem_v1.0	sgchem_v1.0__bundle__00015__abstain_contradiction__04	0	0.000	reject	REJECT	0.850	1	1	0	1	budget_exhausted:max_steps				
sgchem_v1.0	sgchem_v1.0__bundle__00015__audit_accept__02	1	1.200	accept	ACCEPT	0.850	1	1	0	1	accepted	1	2	1	2
sgchem_v1.0	sgchem_v1.0__bundle__00015__audit_reject__03	1	1.200	accept	ACCEPT	0.850	1	1	0	1	accepted	3	2	3	2
sgchem_v1.0	sgchem_v1.0__bundle__00015__boundary_precision__05	1	1.200	accept	ACCEPT	0.850	1	1	0	1	accepted	1	2	1	2
sgchem_v1.0	sgchem_v1.0__bundle__00015__boundary_precision__06	1	1.200	accept	ACCEPT	0.850	1	1	0	1	accepted	3	2	3	2
sgchem_v1.0	sgchem_v1.0__bundle__00015__construct_feasible__01	1	1.200	accept	ACCEPT	0.850	1	1	0	1	accepted				
sgchem_v1.0	sgchem_v1.0__bundle__00018__abstain_contradiction__04	0	0.000	reject	REJECT	0.850	1	1	0	1	budget_exhausted:max_steps				
sgchem_v1.0	sgchem_v1.0__bundle__00018__audit_accept__02	1	1.200	accept	ACCEPT	0.850	1	1	0	1	accepted	1	2	1	2
